Squad,Season,League,Poss (%),CrdY,CrdR,Discipline Points,Squad Size (TM),Total MV (€M),AMV (€M),CoA
Girona,2022-2023,La Liga,51.3,92,3,101,37,139.9,3.78,381.78
Mallorca,2022-2023,La Liga,41.1,120,5,135,38,107.0,2.82,380.7
Osasuna,2022-2023,La Liga,48.0,93,7,114,31,150.05,4.84,551.76
Rayo Vallecano,2022-2023,La Liga,51.2,90,6,108,29,103.4,3.57,385.56
Real Betis,2022-2023,La Liga,50.6,83,15,128,38,246.4,6.48,829.44
Real Madrid,2022-2023,La Liga,60.9,72,3,81,36,923.45,25.65,2077.65
Real Sociedad,2022-2023,La Liga,54.6,90,2,96,37,441.7,11.94,1146.24
Sevilla,2022-2023,La Liga,52.6,121,13,160,42,232.58,5.54,886.4
Valencia,2022-2023,La Liga,52.0,93,8,117,40,249.78,6.24,730.08
Valladolid,2022-2023,La Liga,48.7,94,6,112,41,90.75,2.21,247.52
Villarreal,2022-2023,La Liga,56.9,91,4,103,43,363.5,8.45,870.35
Alavés,2023-2024,La Liga,41.8,84,1,87,41,123.7,3.02,262.74
Almería,2023-2024,La Liga,46.4,93,6,111,41,99.4,2.42,268.62
Athletic Club,2023-2024,La Liga,49.8,80,5,95,31,295.65,9.54,906.3
Atlético Madrid,2023-2024,La Liga,50.8,89,5,104,42,458.45,10.92,1135.68
Barcelona,2023-2024,La Liga,64.3,87,2,93,38,916.2,24.11,2242.23
Cádiz,2023-2024,La Liga,43.3,107,7,128,44,60.7,1.38,176.64
Celta Vigo,2023-2024,La Liga,46.1,66,5,81,39,149.3,3.83,310.23
Getafe,2023-2024,La Liga,44.8,135,10,165,40,133.0,3.33,549.45
Girona,2023-2024,La Liga,56.9,75,1,78,37,297.9,8.05,627.9
Granada,2023-2024,La Liga,45.6,98,4,110,46,141.1,3.07,337.7
Las Palmas,2023-2024,La Liga,59.2,84,5,99,35,112.4,3.21,317.79
Mallorca,2023-2024,La Liga,45.0,105,4,117,35,87.7,2.51,293.67
Osasuna,2023-2024,La Liga,47.5,78,5,93,32,105.35,3.29,305.97
Rayo Vallecano,2023-2024,La Liga,49.4,108,5,123,30,63.95,2.13,261.99
Real Betis,2023-2024,La Liga,50.4,87,3,96,42,224.88,5.35,513.6
Real Madrid,2023-2024,La Liga,59.2,69,4,81,37,1140.0,30.68,2485.08
Real Sociedad,2023-2024,La Liga,55.3,98,2,104,40,498.5,12.46,1295.84
Sevilla,2023-2024,La Liga,50.3,108,4,120,49,228.75,4.67,560.4
Valencia,2023-2024,La Liga,44.3,64,5,79,36,244.73,6.8,537.2
Villarreal,2023-2024,La Liga,49.6,110,8,134,39,252.5,6.47,866.98
Alavés,2024-2025,La Liga,45.3,107,5,122,37,92.35,2.5,305.0
Athletic Club,2024-2025,La Liga,48.4,64,3,73,37,375.35,10.14,740.22
