Squad,Season,League,Poss (%),CrdY,CrdR,Discipline Points,Squad Size (TM),Total MV (€M),AMV (€M),CoA
İstanbulspor,2022-2023,Süper Lig,43.9,88,4,100,45,18.43,0.409,40.9
Kasımpaşa,2022-2023,Süper Lig,45.1,89,3,98,47,39.23,0.835,81.83
Kayserispor,2022-2023,Süper Lig,51.3,61,7,82,36,31.05,0.863,70.766
Konyaspor,2022-2023,Süper Lig,50.6,89,5,104,38,48.58,1.28,133.12
Sivasspor,2022-2023,Süper Lig,46.4,59,4,71,38,28.93,0.761,54.031
Trabzonspor,2022-2023,Süper Lig,54.8,68,5,83,47,135.3,2.88,239.04
Ümraniyespor,2022-2023,Süper Lig,47.1,77,5,92,42,12.05,0.287,26.404
Adana Demirspor,2023-2024,Süper Lig,51.9,81,8,105,52,53.3,1.03,108.15
Alanyaspor,2023-2024,Süper Lig,52.7,87,4,99,37,32.53,0.879,87.021
Ankaragücü,2023-2024,Süper Lig,48.3,67,3,76,43,33.38,0.776,58.976
Antalyaspor,2023-2024,Süper Lig,51.2,78,4,90,39,31.48,0.807,72.63
Başakşehir,2023-2024,Süper Lig,53.0,84,5,99,43,54.15,1.26,124.74
Beşiktaş,2023-2024,Süper Lig,55.0,92,4,104,49,146.88,3.0,312.0
Fatih Karagümrük,2023-2024,Süper Lig,50.0,96,7,117,45,32.33,0.718,84.006
Fenerbahçe,2023-2024,Süper Lig,57.1,96,5,111,55,218.3,3.97,440.67
Galatasaray,2023-2024,Süper Lig,61.0,66,1,69,46,255.65,5.56,383.64
Gaziantep FK,2023-2024,Süper Lig,42.1,85,4,97,38,24.03,0.632,61.304
Hatayspor,2023-2024,Süper Lig,47.3,106,1,109,39,28.9,0.741,80.769
İstanbulspor,2023-2024,Süper Lig,46.8,94,6,112,44,12.93,0.294,32.928
Kasımpaşa,2023-2024,Süper Lig,47.2,70,2,76,43,28.98,0.674,51.224
Kayserispor,2023-2024,Süper Lig,52.1,84,3,93,39,34.05,0.873,81.189
Konyaspor,2023-2024,Süper Lig,46.5,75,2,81,42,32.28,0.768,62.208
Pendikspor,2023-2024,Süper Lig,50.0,89,6,107,42,23.38,0.557,59.599
Rizespor,2023-2024,Süper Lig,47.3,91,3,100,42,34.15,0.813,81.3
Samsunspor,2023-2024,Süper Lig,47.2,80,3,89,41,34.88,0.851,75.739
Sivasspor,2023-2024,Süper Lig,41.7,78,3,87,47,30.38,0.646,56.202
Trabzonspor,2023-2024,Süper Lig,52.8,65,1,68,40,118.38,2.96,201.28
Adana Demirspor,2024-2025,Süper Lig,44.5,79,3,88,44,19.95,0.453,39.864
Alanyaspor,2024-2025,Süper Lig,51.3,97,2,103,44,26.53,0.603,62.109
Antalyaspor,2024-2025,Süper Lig,52.0,75,2,81,40,22.08,0.552,44.712
Başakşehir,2024-2025,Süper Lig,53.1,85,5,100,39,65.18,1.67,167.0
BB Bodrumspor,2024-2025,Süper Lig,41.6,66,4,78,43,20.5,0.477,37.206
Beşiktaş,2024-2025,Süper Lig,56.4,66,4,78,40,137.38,3.43,267.54
Eyüpspor,2024-2025,Süper Lig,52.7,98,3,107,44,35.48,0.806,86.242
Fenerbahçe,2024-2025,Süper Lig,54.4,79,1,82,44,269.83,6.13,502.66
Galatasaray,2024-2025,Süper Lig,57.5,83,3,92,49,317.28,6.48,596.16
Gaziantep FK,2024-2025,Süper Lig,45.9,102,5,117,43,24.06,0.56,65.52
Göztepe,2024-2025,Süper Lig,44.3,79,3,88,36,53.6,1.49,131.12
Hatayspor,2024-2025,Süper Lig,47.4,99,5,114,34,17.7,0.521,59.394
Kasımpaşa,2024-2025,Süper Lig,54.4,95,3,104,49,35.3,0.72,74.88
Kayserispor,2024-2025,Süper Lig,47.3,98,7,119,41,22.38,0.546,64.974
Konyaspor,2024-2025,Süper Lig,45.7,97,5,112,44,23.58,0.536,60.032
Rizespor,2024-2025,Süper Lig,51.1,89,5,104,36,40.73,1.13,117.52
Samsunspor,2024-2025,Süper Lig,49.7,88,2,94,37,33.48,0.905,85.07
Sivasspor,2024-2025,Süper Lig,44.9,91,10,121,45,17.2,0.382,46.222
Trabzonspor,2024-2025,Süper Lig,56.8,78,2,84,49,117.68,2.4,201.6
